id,module,feature,legacy_evidence,api_or_bridge,react_evidence,browser_test,electron_test,status,reviewer,rationale
PROJECT-001,PROJECT,recent-project selection,manyselves/gui/project_dialog.py:ProjectDialog._load_recent_projects,,frontend/src/features/projects/ProjectWorkspace.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PROJECT-002,PROJECT,create project workspace,manyselves/gui/project_dialog.py:ProjectDialog._on_new_project,,frontend/src/features/projects/ProjectWorkspace.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PROJECT-003,PROJECT,open existing project folder,manyselves/gui/project_dialog.py:ProjectDialog._on_open_folder,,frontend/src/features/projects/ProjectWorkspace.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PROJECT-004,PROJECT,delete recent project,manyselves/gui/project_dialog.py:ProjectDialog._on_delete_project,,frontend/src/features/projects/ProjectWorkspace.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PROJECT-005,PROJECT,canonical project structure creation,manyselves/gui/project_dialog.py:ProjectDialog._create_project_structure,,frontend/src/features/projects/ProjectWorkspace.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-001,FILE,browse canonical workspace tree,manyselves/gui/widgets/file_tree.py:FileTreeWidget._setup_ui,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-002,FILE,create file and folder,manyselves/gui/widgets/file_tree.py:FileTreeWidget._new_file_in_dir and _new_folder_in_dir,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-003,FILE,rename file and directory,manyselves/gui/widgets/file_tree.py:FileTreeWidget._rename_file and _rename_directory,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-004,FILE,delete selected file or directory,manyselves/gui/widgets/file_tree.py:FileTreeWidget._delete_selected_items,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-005,FILE,drag and drop file move,manyselves/gui/widgets/file_tree.py:FileTreeWidget._handle_internal_move,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
FILE-006,FILE,file search in agent composer,manyselves/gui/widgets/agent_panel.py:AgentPanel._file_search_executor,,frontend/src/features/files/FileTree.test.tsx; frontend/src/features/files/UploadQueue.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-001,EDITOR,open file from desktop menu,manyselves/gui/main_window.py:MainWindow._on_open_file,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-002,EDITOR,save active editor file,manyselves/gui/main_window.py:MainWindow._on_save_file,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-003,EDITOR,modified-tab tracking,manyselves/gui/widgets/preview.py:EditorPanel._on_editor_text_changed,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-004,EDITOR,close and reorder editor tabs,manyselves/gui/widgets/preview.py:PreviewWidget._on_unified_tab_close and _on_unified_tab_moved,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
EDITOR-005,EDITOR,external file change refresh,manyselves/gui/widgets/preview.py:PreviewWidget._on_watched_file_changed,,frontend/src/features/editor/EditorWorkspace.test.tsx; frontend/src/features/editor/EditorTabs.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-001,PREVIEW,select file for preview,manyselves/gui/main_window.py:MainWindow._on_file_selected,GET /api/v1/projects/{project_id}/files/preview,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Browser selection and explicit preview action verified; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-002,PREVIEW,document viewer dispatch,manyselves/gui/widgets/preview.py:_create_viewer,PreviewResponse discriminated union,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Renderer matrix and unsupported fallback verified; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-003,PREVIEW,embedded DOCX preview,manyselves/gui/widgets/preview.py:_create_docx_viewer,DocxPreview DTO,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Paragraph table and image ordering verified; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-004,PREVIEW,image and SVG preview,manyselves/gui/widgets/preview.py:_create_image_viewer and _create_svg_viewer,ImagePreview DTO and authenticated content URL,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,SVG is sanitized again and rendered through an isolated image element; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PREVIEW-005,PREVIEW,open external-file fallback,manyselves/gui/widgets/preview.py:_open_external_file,,frontend/src/features/preview/PreviewPane.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PYTHON-001,PYTHON,Python syntax highlighting,manyselves/gui/widgets/preview.py:EXTENSION_LEXERS (.py),,frontend/src/features/preview/PythonRunAction.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PYTHON-002,PYTHON,run active Python file,manyselves/gui/widgets/preview.py:PreviewWidget._on_run_clicked,POST /api/v1/operations/python and interrupt,frontend/src/features/preview/PythonRunAction.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Trusted-server confirmation control lease polling output and interrupt verified; no sandbox claim; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
PYTHON-003,PYTHON,preview active file action,manyselves/gui/widgets/preview.py:PreviewWidget._on_preview_clicked,GET /api/v1/projects/{project_id}/files/preview,frontend/src/features/preview/PythonRunAction.test.tsx,frontend/e2e/workspace.spec.ts,,tested,,Explicit preview preserves the open editor context; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONV-001,CONV,load conversation histories,manyselves/gui/main_window.py:MainWindow._load_conversations,,frontend/src/features/conversations/ConversationWorkspace.test.tsx; frontend/src/features/conversations/ConversationList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONV-002,CONV,new conversation per agent,manyselves/gui/main_window.py:MainWindow._on_new_conversation_requested,,frontend/src/features/conversations/ConversationWorkspace.test.tsx; frontend/src/features/conversations/ConversationList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONV-003,CONV,switch conversation session,manyselves/gui/main_window.py:MainWindow._on_session_selected,,frontend/src/features/conversations/ConversationWorkspace.test.tsx; frontend/src/features/conversations/ConversationList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONV-004,CONV,rename and delete session,manyselves/gui/main_window.py:MainWindow._on_rename_session and _on_delete_session,,frontend/src/features/conversations/ConversationWorkspace.test.tsx; frontend/src/features/conversations/ConversationList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
CONV-005,CONV,conversation history dropdown,manyselves/gui/widgets/conversation_history.py:ConversationHistoryDropdown.populate_from_store,,frontend/src/features/conversations/ConversationWorkspace.test.tsx; frontend/src/features/conversations/ConversationList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
MESSAGE-001,MESSAGE,send user message to selected agent,manyselves/gui/main_window.py:MainWindow._on_agent_message,,frontend/src/features/chat/MessageComposer.test.tsx; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
MESSAGE-002,MESSAGE,send editor file context,manyselves/gui/main_window.py:MainWindow._on_agent_file_context,,frontend/src/features/chat/MessageComposer.test.tsx; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
MESSAGE-003,MESSAGE,render streamed agent response,manyselves/gui/main_window.py:MainWindow._handle_agent_response,,frontend/src/features/chat/MessageComposer.test.tsx; frontend/src/features/chat/MessageList.test.tsx,frontend/e2e/conversations.spec.ts,,tested,,PyQt baseline inventory; implementation and acceptance evidence pending; Gate C automated React and browser evidence recorded; reviewer acceptance remains pending.
